pair,ligand,n_configurations,delta_E_min,delta_E_max,delta_E_mean,delta_E_median
Ag-Cr,S,1,-0.060173778380712,-0.060173778380712,-0.060173778380712,-0.060173778380712
Ag-Mn,O,7,-0.315894335438202,-0.0036573928162635,-0.07989811220968905,-0.0076859147600579
Ag-Nb,O,2,-0.0614078124474974,-0.0600014036844241,-0.06070460806596075,-0.06070460806596075
Ag-Rh,S,1,-0.2131169344460084,-0.2131169344460084,-0.2131169344460084,-0.2131169344460084
Ag-V,O,3,-0.0859675241685584,-0.0635192948890931,-0.07656409192096016,-0.080205456705229
Ag-Y,O,3,-0.1376075737936784,-0.0715122487933031,-0.10450253621863827,-0.1043877860689333
Au-Ta,S,1,-0.2339202903548504,-0.2339202903548504,-0.2339202903548504,-0.2339202903548504
Cd-Co,O,3,-0.0963921453643815,-0.0941303284724344,-0.09537769577365253,-0.0956106134841417
Cd-Cr,O,1,-0.0208637008601896,-0.0208637008601896,-0.0208637008601896,-0.0208637008601896
Cd-Fe,O,6,-0.1911398676819544,-0.0016105051752098,-0.06224324271104734,-0.04495294507465535
Cd-Mn,O,14,-0.2906985595121067,-0.026522907044545,-0.12321692264622033,-0.10959266210993965
Cd-Mn,S,2,-0.0411331133812255,-0.0027250559824896,-0.02192908468185755,-0.02192908468185755
Cd-Nb,O,1,-0.1274741536498836,-0.1274741536498836,-0.1274741536498836,-0.1274741536498836
Cd-Nb,S,1,-0.0722700995035126,-0.0722700995035126,-0.0722700995035126,-0.0722700995035126
Cd-Ni,O,1,-0.0121576387402438,-0.0121576387402438,-0.0121576387402438,-0.0121576387402438
Cd-Pd,O,1,-0.0615360064387175,-0.0615360064387175,-0.0615360064387175,-0.0615360064387175
Cd-Tc,O,1,-0.0592515502655428,-0.0592515502655428,-0.0592515502655428,-0.0592515502655428
Cd-Ti,O,2,-0.0101620706826731,-0.0055907120155064,-0.00787639134908975,-0.00787639134908975
Cd-V,O,2,-0.0714144770558412,-0.0691745413869611,-0.07029450922140115,-0.07029450922140115
Cd-Zr,O,1,-0.0813086507889681,-0.0813086507889681,-0.0813086507889681,-0.0813086507889681
Co-Cr,O,5,-0.0576742606668846,-0.0063119143209073,-0.01918687574961158,-0.01054477425141
Co-Cu,O,8,-0.2392624957674635,-0.0848997289091379,-0.12427751659298533,-0.09353719932247351
Co-Fe,O,25,-0.2411665499806341,-0.0037843479158151,-0.06007501114647493,-0.0250899317259954
Co-Hf,O,1,-0.0607549528056381,-0.0607549528056381,-0.0607549528056381,-0.0607549528056381
Co-Mn,O,29,-0.1565396751827254,-0.0061611108533615,-0.05197678165073134,-0.038358346571456
Co-Mn,S,2,-0.0219550877671736,-0.0164012574799051,-0.019178172623539352,-0.019178172623539352
Co-Mo,O,2,-0.087528060293739,-0.022428046512443,-0.054978053403091,-0.054978053403091
Co-Nb,O,6,-0.0702622591725086,-0.0665758439949456,-0.0683518319957128,-0.06815555195108916
Co-Nb,S,4,-0.1271699041378486,-0.0816072052808933,-0.10741822172198942,-0.1104478887346079
Co-Ni,O,12,-0.131213361331175,-0.0165657527579011,-0.05735368996009418,-0.059687618365603
Co-Ni,S,2,-0.070761451423057,-0.010764155572991,-0.040762803498024,-0.040762803498024
Co-Rh,O,1,-0.0051857983706196,-0.0051857983706196,-0.0051857983706196,-0.0051857983706196
Co-Rh,S,1,-0.0578836342060069,-0.0578836342060069,-0.0578836342060069,-0.0578836342060069
Co-Ru,O,6,-0.2879931942107602,-0.0928025195507047,-0.17438123580525108,-0.16754489766817432
